Country,Very good,Good,Fair,Poor,Very poor,Not know
Argentina,24.9,39.6,28.3,6.4,0.3,0.5
Chile,19.8,48.9,26.9,4.4,0,0.1
China,29.8,31.2,26.4,12.4,0,0
India,20.4,41.7,26.5,10.6,0,0.8
Japan,14.6,39.3,36.8,7.8,0,1.5
South Korea,14,63.5,21.4,1.1,0,0
Mexico,19.3,42,34.3,4.1,0,0.3
Pakistan,15.1,51.1,29.8,4,0,0
Peru,11.3,37.9,47.9,2.9,0,0.1
Philippines,18.9,38.3,35.7,7.1,0,0
South Africa,46.6,31.3,18.3,3.7,0,0.1
Spain,19.6,55.7,19.6,4.8,0,0.2
Turkey,18.4,46.5,24.8,7.5,2.5,0.3
United States,41.9,41.8,13.5,2.6,0,0.1
Serbia,15.1,36.8,35.2,12.4,0,0.5